source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Forbes'}","Christopher Helman, Forbes Staff, 
 Christopher Helman, Forbes Staff
 https://www.forbes.com/sites/christopherhelman/","Gold To Top Bitcoin And Silver On Way To $4K Per Oz, Says Goldman Sachs",Goldman sees gold as a far better hedge against a collapsing dollar than bitcoin.,https://www.forbes.com/sites/christopherhelman/2025/05/25/gold-to-top-bitcoin-and-silver-on-way-to-4k-per-oz-says-goldman-sachs/,https://imageio.forbes.com/specials-images/imageserve/68328a3b3be85982b0bdbad2/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2025-05-25T12:30:00Z,"Standard gold bars for international trade weigh 400 ounces, worth about $1.3 million. 
AFP via Getty Images
Goldman Sachs sees gold as a far better hedge against a collapsing dollar than bitcoin. … [+5034 chars]"
"{'id': None, 'name': 'Portfolio.hu'}",Portfolio.hu,"Túl sok áramot termelnek Pakisztánban, a feleslegből elkezdenek bitcoint bányászni","Pakisztán új, ambiciózus digitális stratégiát indított, amelynek első lépésében 2000 megawattnyi áramot irányítanak a bitcoinbányászat és mesterséges intelligencia adatközpontok ellátására. A cél: a felesleges áram hasznosítása, új munkahelyek teremtése és kü…",https://www.portfolio.hu/uzlet/20250525/tul-sok-aramot-termelnek-pakisztanban-a-feleslegbol-elkezdenek-bitcoint-banyaszni-763615,https://pcdn.hu/articles/images-xl/b/i/t/bitcoin-754889.jpg,2025-05-25T12:28:00Z,"Pakisztán pénzügyminisztériuma bejelentette, hogy
az ország 2000 megawattnyi villamos energiát különít el, amely a bitcoinbányászat és mesterséges intelligencia adatközpontok mködtetését célozza.
A… [+1084 chars]"
"{'id': None, 'name': 'BeInCrypto'}",Luis Blanco,Dogecoin sobre ruedas: Devlin Defrancesco portará DOGE en la Indy 500 edición 2025,"El 2025 será el año en que Dogecoin se adentrará en el mundo de las carreras automovilísticas. Devlin Defrancesco, piloto de la Indy 500, llevará el icónico logo de DOGE en su monoplaza, fusionando el universo de las criptomonedas con el automovilismo.
El pos…",https://es.beincrypto.com/dogecoin-doge-defrancesco-indy-500-edicion-2025/,https://es.beincrypto.com/wp-content/uploads/2024/10/bic_doge-covers_coins_positive.jpg.webp,2025-05-25T12:19:00Z,"La Indy 500 es una de las competencias automovilísticas más prestigiosas del mundo, pero en la edición de 2025, un elemento inesperado estará en la línea de salida. Dogecoin, la criptomoneda que come… [+4196 chars]"
"{'id': None, 'name': 'Protothema.gr'}",,"Επενδυτής κρυπτονομισμάτων κατηγορείται ότι απήγαγε άνδρα και τον βασάνιζε επί εβδομάδες, με τη βοήθεια της 24χρονης βοηθού του","O 37χρονος Τζον Γουέλτζ συνελήφθη το βράδυ της Παρασκευής, αφού το 28χρονο θύμα του κατάφερε να αποδράσει από το πολυτελές διαμέρισμα όπου κρατούνταν και να ζητήσει βοήθεια | Απαγωγή | Βασανιστήρια | Μανχάταν | Κρυπτονομίσματα | Κόσμος",https://www.protothema.gr/world/article/1644896/ependutis-kruptonomismaton-katigoreitai-oti-vasanize-andra-epi-evdomades-se-poluteles-diamerisma/,https://www.protothema.gr/images/640x360share/jpg/files/2025-05-25/arrest_crypto.jpg,2025-05-25T12:17:00Z,", .CNN, o 37 , 28 8 , .
, , , . .
 , 28 , , Associated Press. , , 6 . , , Bitcoin , . , « » .
 Daily Mail, 24 , , .
, New York Post. , ,  marketing manager . LinkedIn, , , Puma, Rolls-Royce Bentl… [+2 chars]"
"{'id': None, 'name': 'Bitcoinist'}",Christian Encila,"Crypto Isn’t Going Anywhere, Regardless Of Wallet Growth—Cathie Wood","Cryptocurrency exchange-traded funds (ETFs) look set to stay popular, even as more people learn how to use wallets. According to ARK Invest CEO Cathie Wood, many investors will stick with ETFs because they prefer the easy, one-click option. At a May 23 event …",https://bitcoinist.com/crypto-isnt-going-anywhere-regardless-of-wallet-growth-cathie-wood/,https://bitcoinist.com/wp-content/uploads/2025/05/a_d2ef91.jpg,2025-05-25T12:00:41Z,"Cryptocurrency exchange-traded funds (ETFs) look set to stay popular, even as more people learn how to use wallets. According to ARK Invest CEO Cathie Wood, many investors will stick with ETFs becaus… [+2601 chars]"
"{'id': None, 'name': 'Ambcrypto.com'}",Samyukhtha L KM,"Ethereum surges past $2,700, but THESE warning signs tell a different story",Rising exchange reserves and decoupling from Bitcoin also raises concerns.,https://ambcrypto.com/ethereum-surges-past-2700-but-these-warning-signs-tell-a-different-story/,https://ambcrypto.com/wp-content/uploads/2025/05/Samyukhtha-23-1-1000x600.webp,2025-05-25T12:00:28Z,"<ul><li>ETHs $2.7K breakout triggered a short squeeze, but rising exchange reserves signal weakening momentum</li><li>Ethereums decoupling from Bitcoin raises concerns about sustainability, with L2s … [+2525 chars]"
"{'id': None, 'name': 'BFMTV'}",,Un investisseur en cryptomonnaies inculpé pour l'enlèvement et la séquestration d'un homme pour en obtenir son mot de passe Bitcoin,L'homme a déclaré avoir été ligoté par les poignets et torturé pendant des semaines dans un appartement.,https://www.bfmtv.com/international/amerique-nord/etats-unis/un-investisseur-en-cryptomonnaies-inculpe-pour-l-enlevement-et-la-sequestration-d-un-homme-pour-en-obtenir-son-mot-de-passe-bitcoin_AN-202505250225.html,https://images.bfmtv.com/jEX57rbpapbqVy7yK5epya5AJsY=/0x79:2048x1231/2048x0/images/Une-representation-physique-du-Bitcoin-1191992.jpg,2025-05-25T11:46:23Z,"L'homme a déclaré avoir été ligoté par les poignets et torturé pendant des semaines dans un appartement.
Un investisseur en cryptomonnaies a été arrêté ce vendredi 23 mai, soupçonné d'avoir enlevé u… [+1402 chars]"
"{'id': None, 'name': 'The Daily Hodl'}",Alex Richardson,"Gold and Bitcoin Likely Going to the Moon Until This Happens, According to Investor Luke Gromen","Macro investor Luke Gromen says that gold and Bitcoin (BTC) will likely trend upwards until a critical turning point. In a new interview on the Less Noise More Signal YouTube channel, Gromen says if the US brings in capital controls as a way to sustain its tr…",https://dailyhodl.com/2025/05/25/gold-and-bitcoin-likely-going-to-the-moon-until-this-happens-according-to-investor-luke-gromen/,https://dailyhodl.com/wp-content/uploads/2023/10/Bitcoin-and-Gold-up.jpg,2025-05-25T11:45:55Z,"Macro investor Luke Gromen says that gold and Bitcoin (BTC) will likely trend upwards until a critical turning point.
In a new interview on the Less Noise More Signal YouTube channel, Gromen says if… [+2046 chars]"
"{'id': None, 'name': 'Numerama'}",Gabriel Thierry,« Pourquoi est-ce aussi cher ? » Les négociations surprenantes entre cybercriminels et victimes,"La suite va vous surprendre, ou pas. « Pourquoi est-ce aussi cher ? Bonjour ? ». Les deux messages ont été envoyés le 17 avril 2025 à une vingtaine de minutes d’intervalle. Quelques minutes plus tard, la réponse du cybercriminel affilié au dangereux groupe Lo…",https://www.numerama.com/cyberguerre/1974803-comment-les-cybercriminels-de-lockbit-negocient-leurs-rancons.html,"https://c0.lestechnophiles.com/www.numerama.com/wp-content/uploads/2023/05/design-sans-titre-2-1.jpg?resize=1600,900&key=c8a7bf4a&watermark",2025-05-25T11:32:00Z,"La suite va vous surprendre, ou pas.
« Pourquoi est-ce aussi cher ? Bonjour ? ». Les deux messages ont été envoyés le 17 avril 2025 à une vingtaine de minutes d’intervalle. Quelques minutes plus tar… [+6528 chars]"
"{'id': None, 'name': 'Xataka.com'}",Alejandro Alcolea,El plan de la humanidad era depender menos del gas para generar energía. La IA opina otra cosa muy distinta,"Cuando saltaron las alarmas por el aumento de temperaturas a nivel global, se puso en marcha el plan de la descarbonización. Países, las grandes empresas tecnológicas y de automoción marcaron hace años objetivos para reducir sus emisiones de carbono con metas…",https://www.xataka.com/energia/queriamos-depender-gas-ia-tenia-otros-planes-fabricantes-turbinas-se-frotan-manos,https://i.blogs.es/f9825b/gas-centros-de-datos/840_560.jpeg,2025-05-25T11:31:46Z,"Cuando saltaron las alarmas por el aumento de temperaturas a nivel global, se puso en marcha el plan de la descarbonización. Países, las grandes empresas tecnológicas y de automoción marcaron hace añ… [+3830 chars]"
"{'id': None, 'name': 'newsBTC'}",Sebastian Villafuerte,Bitcoin Liquidity Builds At $105K Level – Sweep Before New Highs?,"Bitcoin finally broke through its all-time highs this week, reaching $112,000 and holding firm above the key psychological level of $100,000. After weeks of steady momentum and bullish consolidation, the breakout marks a major shift in market structure, confi…",http://www.newsbtc.com/bitcoin-news/bitcoin-liquidity-builds-at-105k-level-sweep-before-new-highs/,https://www.newsbtc.com/wp-content/uploads/2025/05/Untitled-design-89.jpg?fit=1792%2C1024,2025-05-25T11:30:44Z,"Strict editorial policy that focuses on accuracy, relevance, and impartiality
Created by industry experts and meticulously reviewed
The highest standards in reporting and publishing
Strict editori… [+4490 chars]"
"{'id': None, 'name': 'newsBTC'}",NewsBTC,Crypto ETFs Are Booming – But Best Wallet Proves Crypto Wallets Aren’t Just Insurance Policies,"ARK Invest’s Cathie Wood spilled her insights into crypto ETFs and wallets at the recently concluded Solana Accelerate event in New York. She said that while there can be no doubt the crypto wallet space is expanding at a breakneck space, crypto ETFs are like…",http://www.newsbtc.com/news/crypto-etfs-are-booming-but-best-wallet-proves-crypto-wallets-arent-just-insurance-policies/,https://www.newsbtc.com/wp-content/uploads/2025/05/crypto-etfs-are-booming-but-best-wallet-proves-crypto-wallets-arent-just-insurance-policies.jpg,2025-05-25T11:24:35Z,"Strict editorial policy that focuses on accuracy, relevance, and impartiality
Created by industry experts and meticulously reviewed
The highest standards in reporting and publishing
Strict editori… [+5562 chars]"
"{'id': None, 'name': 'ZyCrypto'}",Newton Gitonga,“We are Going Big on Bitcoin and Crypto” Asserts U.S. Treasury Secretary Bessent,"Treasury Secretary Scott Bessent has revealed that the Trump administration is prioritizing digital assets, signaling a major shift in federal cryptocurrency policy. “The Trump Administration is going big on digital assets,” Bessent said during a Saturday int…",https://zycrypto.com/we-are-going-big-on-bitcoin-and-crypto-asserts-u-s-treasury-secretary-bessent/,https://zycrypto.com/wp-content/uploads/2024/05/Trump-Taps-Into-Crypto-Craze-By-Accepting-Bitcoin-Ether-Solana-Shiba-Inu-Dogecoin-Donations.jpg,2025-05-25T10:39:47Z,"Treasury Secretary Scott Bessent has revealed that the Trump administration is prioritizing digital assets, signaling a major shift in federal cryptocurrency policy.
“The Trump Administration is goi… [+2920 chars]"
"{'id': 'the-irish-times', 'name': 'The Irish Times'}",Maureen Dowd,Maureen Dowd: Trump is a pro at quid pro quo,"The US president is estimated to have added billions to his personal fortune in office, including by selling cryptocurrency",https://www.irishtimes.com/world/us/2025/05/25/maureen-dowd-trump/,https://www.irishtimes.com/resizer/v2/5PB2W44GE47RQA54F7YB7W57KQ.jpg?smart=true&auth=10564a008688420336f5ec5a4b5d020a2c8f80355140be761aced32a7049bd46&width=1200&height=630,2025-05-25T10:31:50Z,"When Donald Trump was headed for the Republican nomination in the summer of 2016, I took Carl Hulse, our chief Washington correspondent, to Trump Tower to meet him.
Trump didnt know anything about t… [+6059 chars]"
"{'id': None, 'name': 'Ritholtz.com'}",Barry Ritholtz,10 Sunday Reads,"Avert your eyes! My Sunday morning look at incompetence, corruption, and policy failures: • The Era Of The Business Idiot. The article revealed that — assume we believe him, and this wasn’t merely a thinly-veiled advert for Microsoft’s AI tech — Copilot consu…",https://ritholtz.com/2025/05/10-sunday-reads-183/,https://ritholtz.com/wp-content/uploads/2026/12/averageage.jpg,2025-05-25T10:30:40Z,"The Era Of The Business Idiot. The article revealed that assume we believe him, and this wasnt merely a thinly-veiled advert for Microsofts AI tech Copilot consumes Nadellas life outside the office a… [+3090 chars]"
"{'id': None, 'name': 'ZyCrypto'}",Troy Watson,"Elon Musk’s Company Tesla (TSLA) Owns 11,900 BTC Worth $1.2 Billion","Tesla (TSLA), an Electric Vehicle company owned by Billionaire Elon Musk, has 11,900 BTC worth around $1.2 billion.",https://zycrypto.com/elon-musks-company-tesla-tsla-owns-11900-btc-worth-1-2-billion/,https://zycrypto.com/wp-content/uploads/2021/06/Tesla-Will-Reinstate-Bitcoin-Payments-Once-Green-Energy-Usage-By-Miners-Reaches-50-Elon-Musk-Reveals.jpg,2025-05-25T10:29:09Z,"Tesla (TSLA), an Electric Vehicle company owned by Elon Musk, has 11,900 BTC worth around $1.2 billion. Arkham Intelligence revealed the latest estimates after analysing blockchain data. Tesla first … [+3918 chars]"
"{'id': None, 'name': 'Ambcrypto.com'}",Ritika Gupta,Bitcoin absorbs a $1.25B blow – Is a supply shock loading?,"Leverage longs wiped out, spot demand steady - pply squeeze incoming?",https://ambcrypto.com/bitcoin-absorbs-a-1-25b-blow-is-a-supply-shock-loading/,https://ambcrypto.com/wp-content/uploads/2025/05/Ritika3-5-1000x600.webp,2025-05-25T10:00:46Z,"<ul><li>Bitcoin absorbed a $1.25B long liquidation with minimal price disruption.</li><li>BTC’s structure remains intact, hinting at a potential supply squeeze.</li></ul>Bitcoin [BTC] is still flexin… [+2784 chars]"
"{'id': None, 'name': 'Bitcoinist'}",Semilore Faleti,VanEck Exec Slams SEC For Delay On Bitcoin ETF Options – Details,"Matthew Sigel, the head of digital assets research at VanEck, has criticized the US Securities and Exchange Commission (SEC) over a delayed response on a proposal to list options trading on the firm’s Bitcoin Spot ETF.  Notably, the Commission has continued t…",https://bitcoinist.com/vaneck-slams-sec-for-delay-on-bitcoin-etf-options/,https://bitcoinist.com/wp-content/uploads/2025/05/istockphoto-2186779435-612x612-1.jpg,2025-05-25T10:00:45Z,"Matthew Sigel, the head of digital assets research at VanEck, has criticized the US Securities and Exchange Commission (SEC) over a delayed response on a proposal to list options trading on the firms… [+2637 chars]"
"{'id': None, 'name': 'newsBTC'}",Scott Matherson,"Ethereum Nears $2,800 Break-Even Zone: Why This Is Important For Rally To $3,000","Ethereum’s recent price momentum, along with the rest of the market, kept investors on edge during the week as it pressed closer toward the $2,800 level. However, Ethereum struggled to push past $2,750 during the week, briefly hitting resistance as bulls trie…",http://www.newsbtc.com/altcoin/ethereum-nears-2800-break-even-zone-why-this-is-important-for-rally-to-3000/,https://www.newsbtc.com/wp-content/uploads/2025/05/a_ee10e0.jpg,2025-05-25T10:00:09Z,"Strict editorial policy that focuses on accuracy, relevance, and impartiality
Created by industry experts and meticulously reviewed
The highest standards in reporting and publishing
Strict editori… [+3193 chars]"
"{'id': None, 'name': 'Cointelegraph'}",Cointelegraph by Amin Haqshanas,"Pakistan allocates 2,000MW power for Bitcoin mining and AI centers","Pakistan has allocated 2,000 megawatts of surplus electricity exclusively for Bitcoin mining and artificial intelligence centers.The move is part of a broader digital transformation plan spearheaded by the Pakistan Crypto Council and backed by the Ministry of…",https://cointelegraph.com/news/pakistan-allocates-2000mw-bitcoin-mining-ai-centers,"https://images.cointelegraph.com/cdn-cgi/image/format=auto,onerror=redirect,quality=90,width=1200/https://s3.cointelegraph.com/uploads/2025-05/019706d5-6c9f-7e0a-83ad-1d80c3b7265a",2025-05-25T09:48:23Z,"Pakistan has allocated 2,000 megawatts of surplus electricity exclusively for Bitcoin mining and artificial intelligence centers.
The move is part of a broader digital transformation plan spearheade… [+3010 chars]"
"{'id': None, 'name': 'Adevarul.ro'}",Teodora Marinescu,"Investitor în criptomonede, inculpat pentru răpire și tortură. Ținea fotografii cu victima, abuzată pentru bitcoin","Un investitor în criptomonede a fost prezentat sâmbătă dimineață în fața unei instanțe penale din New York, fiind acuzat că a răpit un cetățean italian, pe care apoi l-ar fi bătut și torturat timp de mai multe săptămâni, în încercarea de a-l forța să divulge …",https://adevarul.ro/stiri-externe/sua/investitor-in-criptomonede-inculpat-pentru-rapire-2445922.html,https://cdn.adh.reperio.news/image-2/2dc8041d-6fcd-42d1-b443-6e305ef125a6/index.jpeg?p=f%3Djpeg%26w%3D1200%26h%3D630%26r%3Dcover,2025-05-25T09:47:59Z,"Un investitor în criptomonede a fost prezentat sâmbt diminea în faa unei instane penale din New York, fiind acuzat c a rpit un cetean italian, pe care apoi l-ar fi btut i torturat timp de mai multe s… [+2095 chars]"
"{'id': None, 'name': 'Slate Magazine'}",Hillary Frey,"Which Death, Sex & Money Episode Are You?",The stars have aligned to help you choose.,https://slate.com/life/2025/05/podcast-zodiac-death-sex-money-episodes.html,https://compote.slate.com/images/ccba8893-1813-4901-8b26-281f1704497a.jpeg?crop=1560%2C1040%2Cx0%2Cy0&width=1560,2025-05-25T09:45:00Z,"Sign up for the Slatest to get the most insightful analysis, criticism, and advice out there, delivered to your inbox daily.
Death, Sex &amp; Money, hosted by the inimitable Anna Sale, moved to Slat… [+19471 chars]"
"{'id': 'business-insider', 'name': 'Business Insider'}",ledmonds@businessinsider.com (Lauren Edmonds),Faith meets fintech: How churches are betting on AI and crypto,"The 2025 State of the Church Tech report said 45% of surveyed church leaders now use artificial intelligence, an 80% jump from last year.",https://www.businessinsider.com/church-technology-ai-cryptocurrency-bitcoin-2025-5,https://i.insider.com/68322bd3c6ad288d1481dd76?width=1200&format=jpeg,2025-05-25T09:40:01Z,"Don't have cash for the offering plate at church on Sunday? Just use bitcoin.
Weaving bitcoin into the same conversation as Sunday service might seem odd, but it's now a reality for some churches in… [+3367 chars]"
"{'id': None, 'name': 'Securityaffairs.com'}",Pierluigi Paganini,Operation ENDGAME disrupted global ransomware infrastructure,"Operation ENDGAME dismantled key ransomware infrastructure, taking down 300 servers, 650 domains, and seizing €21.2M in crypto. From May 19 to 22, 2025, Operation ENDGAME, coordinated by Europol and Eurojust, disrupted global ransomware infrastructure. Law en…",https://securityaffairs.com/178245/cyber-crime/operation-endgame-disrupted-global-ransomware-infrastructure.html,https://securityaffairs.com/wp-content/uploads/2016/11/europol-terrorism-data-leak.jpg,2025-05-25T09:39:11Z,"Operation ENDGAME disrupted global ransomware infrastructure
 | Silent Ransom Group targeting law firms, the FBI warns
 | Operation RapTor led to the arrest of 270 dark web vendors and buyers
 | C… [+167131 chars]"
